name,uri,artist,mood,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,duration
Hello,4ZiuK6Y2WGVi0UajR3aIUD,Peter Kind,calm,0.329,0.471,0.431,0.0,0.0854,-6.129,0.0342,157.98,0.289,0 days 00:04:55.502000
Opulence,3rrx5ef9rcoo7LfGOLdgiY,Nathan Kawanishi,calm,0.21,0.686,0.714,0.041,0.747,-7.635,0.0804,150.121,0.704,0 days 00:02:08.836000
Endless Ether,5k0MvADsuxZCmFXnN3BSto,fantompower,calm,0.845,0.689,0.377,0.89,0.112,-17.186,0.042,126.927,0.137,0 days 00:03:21.875000
Weather Club,4tcM1byHyYC8FE3tsKxxij,Luke Otwell,calm,0.416,0.759,0.411,0.706,0.132,-8.233,0.0427,145.928,0.281,0 days 00:02:36.230000
In the Middle of Nowhere,5SFQ6Mbny2G918Tl0KUkZM,Soulaced,calm,0.442,0.758,0.341,0.243,0.123,-10.172,0.105,80.007,0.447,0 days 00:02:03
yashinoki,7JcKF4YAz6AOW1b7RjTxnp,lōland,calm,0.0589,0.763,0.556,0.855,0.218,-6.485,0.0741,160.055,0.688,0 days 00:02:24.750000
bringmesun,4nxTHbrP3CYZtOsdsa682X,Psalm Trees,calm,0.864,0.657,0.294,0.886,0.0822,-12.695,0.0413,81.99,0.6,0 days 00:02:20.488000
rooftop garden,3FUDpRdEB2nOwKR9lf6oPZ,Moody.,calm,0.581,0.691,0.228,0.584,0.111,-19.099,0.0538,120.028,0.135,0 days 00:01:43.500000
Pharaoh,169hAO6N9IbE1nGdudQPeo,Elior,calm,0.482,0.764,0.145,0.762,0.185,-19.994,0.441,76.013,0.463,0 days 00:01:53.630000
Jiyu,07Sx03dUY4jRXXtrM7zSs3,SamuW,calm,0.246,0.783,0.183,0.708,0.142,-10.173,0.103,140.049,0.287,0 days 00:02:18.706000
Sunflower,6RE3l6ATL0g2b4s7K9D6Ic,Lofi Fruits Music,calm,0.783,0.757,0.203,0.848,0.112,-14.426,0.0604,156.04,0.298,0 days 00:01:40.063000
sunflower,1Dsvo4jg4zbpcAtYTu36Bd,owlh,calm,0.457,0.675,0.609,0.663,0.0922,-8.461,0.0377,163.031,0.235,0 days 00:02:47.875000
Awake,3tRzqJdt8IJGFyVJac26cj,Rosehip,calm,0.252,0.649,0.464,0.913,0.349,-9.226,0.0448,80.033,0.0695,0 days 00:03:06
Tea & Paper,4jHgYzJkg0UdRluZC98ZwS,Sitting Duck,calm,0.868,0.55,0.291,0.958,0.103,-19.609,0.0524,79.012,0.108,0 days 00:02:13.671000
Waterfall,2vIx9FiVtX8rVIhy0TsdtN,Jmss,calm,0.951,0.644,0.425,0.931,0.141,-8.185,0.0362,75.015,0.268,0 days 00:01:55.200000
I Thought it would be Different this Time,7w6gEfTguVjuys3WjRCXMI,Fdluxx,calm,0.808,0.687,0.283,0.889,0.11,-13.306,0.113,175.857,0.37,0 days 00:02:40.909000
Life Tools,1UnID8JHQyfGHZhX8mTkOz,Joel Manson,calm,0.925,0.677,0.291,0.922,0.107,-14.449,0.103,85.096,0.0355,0 days 00:01:44.471000
Balcony Vibes,3qfu4A3XzXzx9fY2eXRsLj,Katashi Kaitō,calm,0.683,0.826,0.466,0.476,0.116,-7.262,0.0729,87.043,0.571,0 days 00:02:15.172000
Hover,2XNumkhv04B7Zr3Haj7hbk,invention_,calm,0.497,0.575,0.198,0.644,0.12,-12.03,0.0627,85.021,0.167,0 days 00:02:24
Alone,7w7x1A6gF1EfyE52coLKxn,Mylo B,calm,0.468,0.706,0.35,0.33,0.115,-10.072,0.0434,155.877,0.695,0 days 00:02:10.978000
tears (is this even real?),1WiKzAtJ6E1AGjk0VFiT1U,jives,calm,0.705,0.534,0.486,0.927,0.323,-10.058,0.0535,81.903,0.0937,0 days 00:02:55.624000
Why Can't I Stop?,22Ecyv8DKCCmqZFkZleEAl,Yessam,calm,0.348,0.704,0.607,0.5,0.107,-8.25,0.0456,74.983,0.216,0 days 00:03:30
it was love,5093y2i2JV5h2e78FI7CA2,nrg,calm,0.925,0.682,0.339,0.894,0.105,-10.693,0.0457,75.047,0.383,0 days 00:02:22.342000
Killing Time,3WgPd7FVAvSxjjfdeS7wj4,Malia Løu,calm,0.65,0.728,0.392,0.363,0.0938,-12.058,0.0382,100.015,0.393,0 days 00:02:02.626000
One_4_u,2VB8x2R7S8UCb7LhTPLnfe,TV Culture,calm,0.264,0.695,0.206,0.884,0.14,-8.498,0.0689,85.016,0.521,0 days 00:03:16.800000
eventually,4xygfhMXaQeBM9pFVaND7C,ENRA,calm,0.806,0.713,0.311,0.855,0.0673,-11.484,0.0369,90.027,0.133,0 days 00:02:29.340000
Indian Summer,3f5gTBfp3LWjKibsbTA0kl,S I M,calm,0.293,0.645,0.532,0.496,0.427,-7.572,0.0324,79.305,0.405,0 days 00:02:19.059000
While We Wait,61YkyQUuii0m5rHxcD1ntq,Devon Rea,calm,0.967,0.622,0.347,0.939,0.103,-15.89,0.0651,159.933,0.0803,0 days 00:02:06
San Francisco Nights,3bWN5Hibd5W2Zcz0hsM5Ga,Katashi Kaitō,calm,0.0598,0.622,0.394,0.882,0.0743,-9.559,0.04,80.013,0.487,0 days 00:01:55.125000
Long Way Home,4vMvv3T7NXeelqnGQtLPaE,.Sinh,calm,0.632,0.711,0.242,0.742,0.0888,-13.298,0.259,81.009,0.625,0 days 00:01:22.963000
"Later, onesie",3zsSDCP0SXxYrhookKiuav,khaderbai,calm,0.22,0.682,0.326,0.367,0.1,-14.364,0.0296,87.985,0.654,0 days 00:03:00.366000
Lemon Sour in Shinjuku,4eAMEjoLSPuW0N6MnzWZR0,Taiyo Ky,calm,0.639,0.616,0.348,0.936,0.0797,-12.401,0.0408,87.977,0.334,0 days 00:02:41.647000
Homem,1JDdR5is4gANpzsjEklSUW,Chancla,calm,0.447,0.745,0.407,0.644,0.18,-11.328,0.23,86.989,0.482,0 days 00:02:17.931000
Arise,4AYpY2kqEQk4IcwsdzLlR7,Phlocalyst,calm,0.481,0.669,0.306,0.00491,0.0762,-9.112,0.0872,170.055,0.227,0 days 00:02:54.500000
Lost Town,4NINP7JqSvbY7nW0d9uMK0,MON MON,calm,0.26,0.644,0.149,0.904,0.13,-14.794,0.0368,84.994,0.265,0 days 00:01:44.471000
Better Days,0eyYj5cj4zpLDWEGII3CeV,Lusca061,calm,0.938,0.848,0.386,0.831,0.0764,-9.091,0.102,100.008,0.634,0 days 00:03:43.212000
Ad Absurdum,6jQP2h18IwonLGFFs8C6wn,laqueus,calm,0.481,0.533,0.452,0.656,0.697,-12.042,0.185,164.196,0.489,0 days 00:02:00
Roots,6E44XejBm1JxzOSj1Sfdbl,Kupla,calm,0.35,0.812,0.403,0.447,0.106,-8.448,0.232,75.89,0.382,0 days 00:02:18.947000
Sweet Night,3nXvvnbiijvBjuDfuUODB1,KLIM,calm,0.0207,0.663,0.36,0.905,0.141,-2.549,0.067,86.132,0.608,0 days 00:02:19.467000
Understanding,1vAVpTo34cjh35VVGx7DmS,Enluv,calm,0.656,0.68,0.398,0.848,0.0931,-13.87,0.056,79.046,0.396,0 days 00:01:48.608000
